experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
161,25,0.700,1.6,5.00,30,53,25,800,0.00000000,1.00000000,0.23190954,1.00000000,1764,0.854215,0.145785,46.29
162,25,0.700,1.6,5.00,50,53,25,800,0.00000000,1.00000000,0.34553746,1.00000000,2642,0.781653,0.218347,46.91
163,25,0.700,2.0,1.50,20,53,25,800,0.00000000,1.00000000,0.26416148,1.00000000,1168,0.903471,0.096529,45.87
164,25,0.700,2.0,1.50,30,53,25,800,0.00000000,1.00000000,0.25500011,1.00000000,1742,0.856033,0.143967,46.83
165,25,0.700,2.0,1.50,50,53,25,800,0.00000000,1.00000000,0.33509639,1.00000000,2630,0.782645,0.217355,45.68
166,25,0.700,2.0,2.00,20,53,25,800,0.00000000,1.00000000,0.35288793,1.00000000,1162,0.903967,0.096033,47.00
167,25,0.700,2.0,2.00,30,53,25,800,0.00000000,1.00000000,0.23521599,1.00000000,1754,0.855041,0.144959,45.28
168,25,0.700,2.0,2.00,50,53,25,800,0.00000000,1.00000000,0.29721805,1.00000000,2666,0.779669,0.220331,47.48
169,25,0.700,2.0,2.50,20,53,25,800,0.00000000,1.00000000,0.33169970,1.00000000,1164,0.903802,0.096198,47.02
170,25,0.700,2.0,2.50,30,53,25,800,0.00000000,1.00000000,0.25015764,1.00000000,1754,0.855041,0.144959,48.96
171,25,0.700,2.0,2.50,50,53,25,800,0.00000000,1.00000000,0.29662236,1.00000000,2664,0.779835,0.220165,46.51
172,25,0.700,2.0,3.00,20,53,25,800,0.00000000,1.00000000,0.29990507,1.00000000,1162,0.903967,0.096033,46.75
173,25,0.700,2.0,3.00,30,53,25,800,0.00000000,1.00000000,0.23560848,1.00000000,1758,0.854711,0.145289,45.58
174,25,0.700,2.0,3.00,50,53,25,800,0.00000000,1.00000000,0.23524432,1.00000000,2664,0.779835,0.220165,45.92
175,25,0.700,2.0,4.00,20,53,25,800,0.00000000,1.00000000,0.25585012,1.00000000,1164,0.903802,0.096198,46.82
176,25,0.700,2.0,4.00,30,53,25,800,0.00000000,1.00000000,0.31061654,1.00000000,1758,0.854711,0.145289,45.25
177,25,0.700,2.0,4.00,50,53,25,800,0.00000000,1.00000000,0.19189738,1.00000000,2656,0.780496,0.219504,46.85
178,25,0.700,2.0,5.00,20,53,25,800,0.00000000,1.00000000,0.26126748,1.00000000,1164,0.903802,0.096198,45.89
179,25,0.700,2.0,5.00,30,53,25,800,0.00000000,1.00000000,0.29085503,1.00000000,1750,0.855372,0.144628,47.19
180,25,0.700,2.0,5.00,50,53,25,800,0.00000000,1.00000000,0.20651524,1.00000000,2666,0.779669,0.220331,45.46
181,25,0.700,2.5,1.50,20,53,25,800,0.00000000,1.00000000,0.26589202,1.00000000,1160,0.904132,0.095868,47.00
182,25,0.700,2.5,1.50,30,53,25,800,0.00000000,1.00000000,0.27352731,1.00000000,1732,0.856860,0.143140,46.67
183,25,0.700,2.5,1.50,50,53,25,800,0.00000000,1.00000000,0.27967396,1.00000000,2644,0.781488,0.218512,47.53
