experiment,k,jl_eps,cluster_radius,lambda_eps,lambda_k,jl_dim,actual_clusters,items_assigned,lambda_min,lambda_max,lambda_mean,lambda_spread,graph_nnz,graph_sparsity,graph_density,build_time_s
154,25,0.700,1.6,3.00,20,53,25,800,0.00000000,1.00000000,0.26423355,1.00000000,2376,0.950909,0.049091,93.26
155,25,0.700,1.6,3.00,30,53,25,800,0.00000000,1.00000000,0.30170288,1.00000000,3626,0.925083,0.074917,90.91
156,25,0.700,1.6,3.00,50,53,25,800,0.00000000,1.00000000,0.25069719,1.00000000,5628,0.883719,0.116281,92.30
157,25,0.700,1.6,4.00,20,53,25,800,0.00000000,1.00000000,0.35694097,1.00000000,2374,0.950950,0.049050,91.90
158,25,0.700,1.6,4.00,30,53,25,800,0.00000000,1.00000000,0.26315397,1.00000000,3620,0.925207,0.074793,91.88
159,25,0.700,1.6,4.00,50,53,25,800,0.00000000,1.00000000,0.22914602,1.00000000,5622,0.883843,0.116157,93.50
160,25,0.700,1.6,5.00,20,53,25,800,0.00000000,1.00000000,0.26294812,1.00000000,2372,0.950992,0.049008,92.17
161,25,0.700,1.6,5.00,30,53,25,800,0.00000000,1.00000000,0.29369921,1.00000000,3614,0.925331,0.074669,92.07
162,25,0.700,1.6,5.00,50,53,25,800,0.00000000,1.00000000,0.29328790,1.00000000,5630,0.883678,0.116322,92.18
163,25,0.700,2.0,1.50,20,53,25,800,0.00000000,1.00000000,0.39966146,1.00000000,2372,0.950992,0.049008,92.92
164,25,0.700,2.0,1.50,30,53,25,800,0.00000000,1.00000000,0.34643200,1.00000000,3590,0.925826,0.074174,92.25
165,25,0.700,2.0,1.50,50,53,25,800,0.00000000,1.00000000,0.25224481,1.00000000,5582,0.884669,0.115331,92.06
166,25,0.700,2.0,2.00,20,53,25,800,0.00000000,1.00000000,0.40250049,1.00000000,2374,0.950950,0.049050,92.38
167,25,0.700,2.0,2.00,30,53,25,800,0.00000000,1.00000000,0.35373393,1.00000000,3618,0.925248,0.074752,92.16
168,25,0.700,2.0,2.00,50,53,25,800,0.00000000,1.00000000,0.26033962,1.00000000,5628,0.883719,0.116281,94.85
169,25,0.700,2.0,2.50,20,53,25,800,0.00000000,1.00000000,0.32293840,1.00000000,2372,0.950992,0.049008,93.86
170,25,0.700,2.0,2.50,30,53,25,800,0.00000000,1.00000000,0.28444953,1.00000000,3622,0.925165,0.074835,95.11
171,25,0.700,2.0,2.50,50,53,25,800,0.00000000,1.00000000,0.27248622,1.00000000,5624,0.883802,0.116198,92.73
172,25,0.700,2.0,3.00,20,53,25,800,0.00000000,1.00000000,0.34909244,1.00000000,2376,0.950909,0.049091,92.23
173,25,0.700,2.0,3.00,30,53,25,800,0.00000000,1.00000000,0.36872952,1.00000000,3628,0.925041,0.074959,91.62
174,25,0.700,2.0,3.00,50,53,25,800,0.00000000,1.00000000,0.29663785,1.00000000,5624,0.883802,0.116198,92.46
175,25,0.700,2.0,4.00,20,53,25,800,0.00000000,1.00000000,0.28914831,1.00000000,2374,0.950950,0.049050,90.18
176,25,0.700,2.0,4.00,30,53,25,800,0.00000000,1.00000000,0.26499956,1.00000000,3624,0.925124,0.074876,93.20
177,25,0.700,2.0,4.00,50,53,25,800,0.00000000,1.00000000,0.23876828,1.00000000,5622,0.883843,0.116157,93.51
178,25,0.700,2.0,5.00,20,53,25,800,0.00000000,1.00000000,0.30584096,1.00000000,2374,0.950950,0.049050,92.97
179,25,0.700,2.0,5.00,30,53,25,800,0.00000000,1.00000000,0.27994627,1.00000000,3620,0.925207,0.074793,92.06
180,25,0.700,2.0,5.00,50,53,25,800,0.00000000,1.00000000,0.16241367,1.00000000,5632,0.883636,0.116364,92.52
181,25,0.700,2.5,1.50,20,53,25,800,0.00000000,1.00000000,0.29909408,1.00000000,2376,0.950909,0.049091,92.52
182,25,0.700,2.5,1.50,30,53,25,800,0.00000000,1.00000000,0.21462887,1.00000000,3592,0.925785,0.074215,92.39
183,25,0.700,2.5,1.50,50,53,25,800,0.00000000,1.00000000,0.19451443,1.00000000,5558,0.885165,0.114835,91.67
184,25,0.700,2.5,2.00,20,53,25,800,0.00000000,1.00000000,0.23686898,1.00000000,2372,0.950992,0.049008,92.18
185,25,0.700,2.5,2.00,30,53,25,800,0.00000000,1.00000000,0.21685561,1.00000000,3630,0.925000,0.075000,91.04
186,25,0.700,2.5,2.00,50,53,25,800,0.00000000,1.00000000,0.32902421,1.00000000,5636,0.883554,0.116446,95.26
187,25,0.700,2.5,2.50,20,53,25,800,0.00000000,1.00000000,0.30277893,1.00000000,2376,0.950909,0.049091,93.04
188,25,0.700,2.5,2.50,30,53,25,800,0.00000000,1.00000000,0.19920021,1.00000000,3624,0.925124,0.074876,94.60
189,25,0.700,2.5,2.50,50,53,25,800,0.00000000,1.00000000,0.30239583,1.00000000,5632,0.883636,0.116364,96.01
190,25,0.700,2.5,3.00,20,53,25,800,0.00000000,1.00000000,0.22505919,1.00000000,2374,0.950950,0.049050,94.04
191,25,0.700,2.5,3.00,30,53,25,800,0.00000000,1.00000000,0.23804130,1.00000000,3626,0.925083,0.074917,92.54
192,25,0.700,2.5,3.00,50,53,25,800,0.00000000,1.00000000,0.32957388,1.00000000,5640,0.883471,0.116529,93.78
